City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,60.04,overcast clouds,-33.65,115.3333,Observatory Guest House
2,Vredendal,ZA,57.2,few clouds,-31.6683,18.5012,Tharrakamma Guest House
6,Chapais,CA,55.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
9,Chuy,UY,60.37,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
25,East London,ZA,61.7,clear sky,-33.0153,27.9116,Tu Casa
30,Richards Bay,ZA,67.86,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
32,Bredasdorp,ZA,54.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
58,Lebu,CL,55.31,moderate rain,-37.6167,-73.65,Hostal Las Lilas
59,Jamestown,US,57.09,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Williston,US,57.61,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
65,Comodoro Rivadavia,AR,66.06,few clouds,-45.8667,-67.5,Austral Hotel
72,Port Elizabeth,ZA,56.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
83,Fort-Shevchenko,KZ,62.42,clear sky,44.5086,50.263,Oasis hotel Bautino
86,Nelson Bay,AU,57.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
89,Fortuna,US,55.98,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
90,Christchurch,NZ,55.6,overcast clouds,-43.5333,172.6333,The George
92,Mar Del Plata,AR,68.02,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
95,Kruisfontein,ZA,53.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
96,Jinxiang,CN,63.5,overcast clouds,27.4327,120.6062,Wolong Village
109,Mao,ES,66.76,few clouds,39.8885,4.2658,ARTIEM Capri
110,Saldanha,ZA,57.45,few clouds,-33.0117,17.9442,Blue Bay Lodge
113,Cape Town,ZA,60.28,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
120,Waipawa,NZ,53.02,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
124,San Vicente,AR,67.95,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
127,Port Alfred,ZA,59.4,clear sky,-33.5906,26.891,The Halyards Hotel
137,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Punto de encuentro
140,Starkville,US,66.78,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
145,Blackwater,AU,64.29,clear sky,-23.5833,148.8833,Blackwater Motor Inn
148,Ruteng,ID,63.81,broken clouds,-8.6136,120.4721,Hotel FX 72
154,Carnarvon,AU,66.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
163,Ancud,CL,56.43,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
164,Zhelyabovka,UA,55.98,overcast clouds,45.3988,34.7578,
168,Loreto,MX,68.68,overcast clouds,22.2667,-101.9667,José de Jesús Velásquez mora
174,Flinders,AU,55.8,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
177,Ucluelet,CA,55.09,light rain,48.9329,-125.5528,Black Rock Oceanfront Resort
182,Gallup,US,54.36,clear sky,35.5281,-108.7426,El Capitan Motel
183,Santa Maria,BR,63.81,overcast clouds,-29.6842,-53.8069,Hotel Morotin
185,Rio Grande,BR,62.94,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
193,Hermanus,ZA,56.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
206,Jiangyou,CN,55.76,light rain,31.7667,104.7167,Shangping Shuyuan Inn
212,Antofagasta,CL,66.22,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
213,Saint Anthony,US,58.24,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
217,Simao,CN,57.33,overcast clouds,22.7886,100.9748,Changyu Hotel
221,Cuenca,EC,65.59,light rain,-2.8833,-78.9833,Hotel Cuenca
222,Kerman,IR,64.26,clear sky,30.2832,57.0788,هتل آپارتمان آسام
223,Saint-Francois,FR,60.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
228,Dodge City,US,66.25,clear sky,37.7528,-100.0171,Windsor Inn & Suites
230,Soe,ID,67.71,scattered clouds,-9.8607,124.284,Dena Hotel
239,Ulladulla,AU,53.87,clear sky,-35.35,150.4667,Sandpiper Motel
240,Hervey Bay,AU,64.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
241,Lima,PE,67.14,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
247,Bealanana,MG,58.77,clear sky,-14.55,48.7333,
249,Geraldton,AU,54.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
250,Hamilton,US,61.59,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
253,Broken Hill,AU,53.38,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
257,Winona,US,57.61,clear sky,43.9666,-91.7668,
263,Cidreira,BR,63.18,overcast clouds,-30.1811,-50.2056,Hotel Castelo
268,Rudbar,AF,67.08,clear sky,30.15,62.6,
270,Victor Harbor,AU,53.01,broken clouds,-35.5667,138.6167,McCracken Country Club
272,Shawinigan,CA,66.58,light rain,46.5668,-72.7491,Hotel Gouverneur Shawinigan
275,Broome,US,67.17,heavy intensity rain,42.2506,-75.833,Chenango Valley State Park
277,Birin,NP,63.73,overcast clouds,26.8865,88.0718,Sangam hotel and lodge
278,Mount Isa,AU,65.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
282,Sozopol,BG,55.74,light rain,42.4167,27.7,Villa List
285,Tianpeng,CN,59.63,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
288,Gijon,ES,66.45,overcast clouds,43.5357,-5.6615,Miramar
292,Peterborough,GB,58.32,overcast clouds,52.5736,-0.2478,Park Inn by Radisson Peterborough Hotel
295,Akhalgori,GE,56.71,clear sky,42.126,44.4833,Гостиница
297,Arshan,RU,61.18,overcast clouds,46.2732,44.22,Guest House The Green Village
307,Gazanjyk,TM,62.69,clear sky,39.2446,55.5154,Railway motel
309,Vila,PT,56.7,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
313,Bud,US,59.13,clear sky,39.447,-86.1758,Ted McQuinn Trust
