City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,60.04,69,98,6.64,overcast clouds
1,Vanavara,RU,60.34,102.2797,27.45,92,37,6.55,scattered clouds
2,Vredendal,ZA,-31.6683,18.5012,57.2,66,14,13.15,few clouds
3,Severo-Kurilsk,RU,50.6789,156.125,39.27,62,11,13.73,few clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,99,5.99,overcast clouds
5,Bluff,NZ,-46.6,168.3333,51.13,73,100,14.54,overcast clouds
6,Chapais,CA,49.7834,-74.8492,55.18,96,100,10.8,overcast clouds
7,Codrington,AU,-38.2667,141.9667,50.58,85,100,5.77,overcast clouds
8,Hithadhoo,MV,-0.6,73.0833,83.55,70,97,19.71,overcast clouds
9,Chuy,UY,-33.6971,-53.4616,60.37,48,6,11.63,clear sky
10,Atuona,PF,-9.8,-139.0333,77.74,77,30,22.44,light rain
11,Kodiak,US,57.79,-152.4072,35.11,55,1,3.44,clear sky
12,Taoudenni,ML,22.6783,-3.9836,100.44,10,5,2.37,clear sky
13,Poum,NC,-20.2333,164.0167,75.2,79,97,9.55,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,47.05,80,99,6.76,overcast clouds
15,Port Lincoln,AU,-34.7333,135.8667,52.32,78,16,8.05,few clouds
16,Butaritari,KI,3.0707,172.7902,81.59,69,61,16.33,broken clouds
17,Lompoc,US,34.6391,-120.4579,82.13,13,1,9.22,clear sky
18,Hasaki,JP,35.7333,140.8333,72.0,86,44,24.07,scattered clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,84.51,65,20,6.91,few clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,26.44,80,100,3.56,overcast clouds
21,Oktyabrskiy,RU,54.4815,53.471,41.22,57,22,5.75,few clouds
22,Atikokan,CA,48.7555,-91.6216,48.56,63,19,11.45,few clouds
23,Naze,JP,28.3667,129.4833,71.89,83,33,27.02,scattered clouds
24,Hobart,AU,-42.8794,147.3294,49.26,79,40,4.61,scattered clouds
25,East London,ZA,-33.0153,27.9116,61.7,61,6,28.03,clear sky
26,Bubaque,GW,11.2833,-15.8333,83.12,71,1,5.88,clear sky
27,Kargasok,RU,59.0556,80.8572,38.7,91,44,7.11,scattered clouds
28,Faanui,PF,-16.4833,-151.75,80.06,73,37,23.8,scattered clouds
29,Tasiilaq,GL,65.6145,-37.6368,32.16,70,100,7.23,overcast clouds
30,Richards Bay,ZA,-28.783,32.0377,67.86,79,99,15.12,light rain
31,Riyadh,SA,24.6877,46.7219,87.85,14,0,8.79,clear sky
32,Bredasdorp,ZA,-34.5322,20.0403,54.28,52,91,13.85,overcast clouds
33,Aklavik,CA,68.2191,-135.0107,21.92,91,100,1.74,overcast clouds
34,Khatanga,RU,71.9667,102.5,7.27,95,100,7.78,overcast clouds
35,Albany,US,42.6001,-73.9662,75.94,72,100,5.01,overcast clouds
36,Sharjah,AE,25.3573,55.4033,89.58,58,0,0.0,clear sky
37,Inongo,CD,-1.95,18.2667,78.3,71,78,3.6,broken clouds
38,Kamenka,RU,51.3223,42.7678,48.76,53,86,6.04,overcast clouds
39,Sosnovo-Ozerskoye,RU,52.5249,111.5418,26.37,73,100,12.08,overcast clouds
40,Bialystok,PL,53.1333,23.15,44.2,78,70,10.2,broken clouds
41,Oranjemund,NA,-28.55,16.4333,57.15,67,20,22.12,few clouds
42,Uvarovo,RU,51.9849,42.2615,48.4,54,92,6.53,light rain
43,Souillac,MU,-20.5167,57.5167,75.36,73,40,18.41,scattered clouds
44,Avarua,CK,-21.2078,-159.775,75.25,88,75,4.61,broken clouds
45,Nanortalik,GL,60.1432,-45.2371,42.84,58,12,5.7,few clouds
46,Dikson,RU,73.5069,80.5464,30.79,92,100,15.59,overcast clouds
47,Vaini,TO,-21.2,-175.2,71.76,94,75,8.05,broken clouds
48,Milevsko,CZ,49.4509,14.36,46.11,99,9,2.53,clear sky
49,Husavik,IS,66.0449,-17.3389,31.15,76,92,4.97,overcast clouds
